id,name,defining_feature,one_rule,modules,gate,width_unit,contract_freeze,upgrade_note
1,script,"Single execution path, no reuse, no callers","Readable top-to-bottom in one pass; functions name steps, they don't hide decisions","entry point at top|named functions only for non-trivial transforms|no classes, no DI, no abstracted config|fail loudly, exit nonzero","No abstraction serving exactly one implementation; entry point findable in 5 seconds","width 1 — no fan-out, just write it","nothing to freeze",""
2,library,"Called by external code; the public API is the contract","Design from the call site outward: write the ideal calling code first, then implement to satisfy it","explicit public API surface (__all__/exports/pub)|internals hidden behind the API|one module = one responsibility|SemVer if distributed|call-site docs per public function","Every public symbol justified by a caller; no internal type in a public signature; public surface smaller than the implementation","one module per worker once the API is frozen","public API signatures + error types",""
3,data-centric,"CRUD with validation; business logic is data-integrity rules","Separate by technical role (handler/service/repository) — the domain concepts are too simple to earn a domain model","controller: parse input, call service, format output|service: validate, authorize, orchestrate|repository: encapsulate the data store|model: fields + simple validation","Each function belongs to exactly one layer; calls flow controller->service->repository only; no SQL/ORM in services; no rules in controllers","one resource (its controller+service+repository trio) per worker","layer interfaces + entity/schema definitions","Upgrade to domain-rich the moment a service branches on entity state or the same rule appears in two services"
4,domain-rich,"Complex business rules that exist even without a database","Structure mirrors the domain's concepts, not technical layers; the domain layer has zero framework dependencies","domain: entities, value objects, aggregates, domain services, domain events, repository interfaces|application: thin use-case orchestration, transactions, authorization|infrastructure: repository impls, API clients, adapters|interface: controllers, CLI, event handlers","Domain layer imports nothing from infrastructure or interface; rules callable without DB or web server; aggregates enforce their own invariants on every state change","one bounded context or aggregate per worker","aggregate boundaries + repository interfaces + domain event names","Downgrade to data-centric if domain objects turn out to be mostly getters and setters"
5,event-driven,"Asynchronous message passing across process boundaries","Every handler must be safe to call zero, one, or many times with the same input — idempotency is the price of admission","immutable past-tense events with aggregate ID + correlation ID|imperative commands directed at one handler|one stateless idempotent handler per message type|sagas as explicit state machines|dead-letter queue with payload, error, retry count","Every handler has a documented idempotency strategy; every event schema is versioned; the system survives any single component restarting mid-operation","one handler per worker","event schemas + topic names + idempotency strategy",""
6,pipeline,"Extract-transform-load; the data movement is itself the point","Each stage independently testable with a known input schema and output schema; the pipeline is the composition of stages","source/extractor with backpressure and pagination|one transformation per stage, named by what it does|idempotent sink that survives partial failure|explicit error channel preserving failed records","Every stage testable in isolation with canned input; schemas explicit at each boundary; error records preserved, never dropped; replayable from any stage","one stage per worker","stage boundary schemas",""
7,plugin-system,"Extension points; core depends on interfaces, plugins implement them","The core knows only the interface, plugins know the core — never the reverse","core: extension-point interface + discovery/registration + orchestration, zero plugin imports|minimal contract surface|self-registering plugins|init/execute/dispose lifecycle","Core imports no plugin package; a new plugin lands with zero core changes; a plugin that throws on init cannot crash the core","core first as one unit, then one plugin per worker","extension-point interface + registration mechanism",""
8,ui-state-flow,"UI screens where rendering is a pure function of a single state source; actions/intents up, state down",The state-holder is the sole writer of UI state and the sole caller into domain/data; the view is a stateless renderer that only dispatches actions and reads state through selectors,"view: stateless renderer, no side effects in render path|state-holder (store/reducer/ViewModel): owns the single UI-state stream per screen|action/intent types: named events with payload shapes|effect layer: async work (network, timers) kept out of reducers|selectors: derived read-only views over state",Every state mutation traces to the state-holder only; each action type has exactly one owning slice; no component holds a hand-synced local copy of store data; reducers/state-holders contain no I/O,one screen or state slice (its view + state-holder + action set) per worker,shared state shape / slice boundaries + action-intent names and payload shapes + navigation routes and their args,"When features multiply past a handful of screens, partition vertically and reclassify as feature-module"
9,feature-module,"Codebase partitioned vertically by user-facing feature, not horizontally by layer","Feature modules may depend on shared core modules, never on each other; cross-feature interaction goes through the app shell (navigation/composition) or a slice public API, never a deep internal import","app shell: composition root + routing/navigation graph|one module per feature: its own view/state/domain/data internals behind one public entry point|core/shared: UI kit, API client, utilities — zero business meaning|entities (web FSD flavor): domain data shapes reusable across features",Zero feature-to-feature internal imports (lint-enforceable); core imports no feature; every feature buildable and testable in isolation,"one feature module/slice per worker, ownable end-to-end",each feature public API surface + navigation routes and args + shared core/UI-kit and API-client signatures,
10,design-system,A reusable UI-primitive package (tokens + components) with zero knowledge of any consuming app,Dependencies point one way: tokens -> atoms -> molecules -> organisms -> app features; the design-system package imports nothing from any app or feature directory,"tokens: color/spacing/type/motion as data, never hardcoded values|atoms: smallest reusable primitives|molecules: small compositions with one job|organisms: complex reusable blocks, still business-agnostic|package boundary: versioned, SemVer on breaking prop changes",Zero imports from app/feature code; no component reads app state or calls an app API; every exported prop API documented,"one component (with variants and stories/tests) per worker, once tokens are frozen",design tokens + each component public prop API + package versioning contract,
